name,title
bm_fiscalyear,會計年度
bm_fundkind,(此報表無需使用此TAG)
bm_budgetkind,(此報表無需使用此TAG)
bm_specialbudgetno,(此報表無需使用此TAG)
bm_agenno,機關編號
bm_agentype,機關業務別
bm_budgetstate,預算階段
bm_abroadplan,出國計畫別
bm_projtype,計畫類別
bm_projno,計畫編號
bm_abroadplanname,出國計畫名稱
bm_visitsts,過去3年拜訪有無
bm_visitexplain,過去3年拜會內容
bm_dispatchstaffs,(此報表無需使用此TAG)
bm_abroadsite1,(此報表無需使用此TAG)
bm_abroadsite2,(此報表無需使用此TAG)
bm_abroadsite3,(此報表無需使用此TAG)
bm_abroadperiod1,(此報表無需使用此TAG)
bm_abroadperiodto1,(此報表無需使用此TAG)
bm_abroadperiod2,(此報表無需使用此TAG)
bm_abroadperiodto2,(此報表無需使用此TAG)
bm_abroadperiod3,(此報表無需使用此TAG)
bm_abroadperiodto3,(此報表無需使用此TAG)
bm_abroadstaffs1,(此報表無需使用此TAG)
bm_abroadstaffs2,(此報表無需使用此TAG)
bm_abroadstaffs3,(此報表無需使用此TAG)
bm_abroadallowance1,(此報表無需使用此TAG)
bm_abroadallowance2,(此報表無需使用此TAG)
bm_abroadallowance3,(此報表無需使用此TAG)
bm_budgetno,預算科目
bm_regionno,領域代碼
bm_country,擬前往國家
bm_agency,擬拜會機構
bm_cont_text,內容
bm_durationfrom,預計前往期間起
bm_durationto,預計前往期間迄
bm_days,預計天數
bm_persons,人數
bm_amt_trans,交通費(元)
bm_amt_life,生活費(元)
bm_amt_public,辦公費(元)
bm_amt_books,(此報表無需使用此TAG)
bm_amt_flight,(此報表無需使用此TAG)
bm_versiondate,(此報表無需使用此TAG)
