name,title
m33_fiscalyear,(此報表無需使用此TAG)
m33_reportno,(此報表無需使用此TAG)
m33_level1,(此報表無需使用此TAG)
m33_level2,(此報表無需使用此TAG)
m33_level3,(此報表無需使用此TAG)
m33_level4,(此報表無需使用此TAG)
m33_objectname,名稱
m33_objectno,(此報表無需使用此TAG)
m33_detailid,(此報表無需使用此TAG)
br_fiscalyear,會計年度
br_fundkind,(此報表無需使用此TAG)
br_budgetkind,(此報表無需使用此TAG)
br_specialbudgetno,(此報表無需使用此TAG)
br_agenno,機關編號
br_agentype,機關業務別
br_budgetstate,預算階段
br_objectno,代碼
br_holds1,自用單位數
br_area1,自用面積
br_bookvalue1,自用帳面帳值(元)
br_amtyear1,自用年需修繕費(元)
br_holds2,無償借用單位數
br_area2,無償借用面積
br_amtyear2,無償借用年需修繕費(元)
br_holds3,有償借用或租用單位數
br_area3,有償借用或租用面積
br_deposit,有償借用或租用押金(元)
br_rental,有償借用或租用租金(元)
br_amtyear3,有償借用或租用年需養護費(元)
br_area4,合計面積
br_deposit4,合計押金(元)
br_rental4,合計租金(元)
br_amtyear4,合計年需養護費(元)
br_versiondate,(此報表無需使用此TAG)
br_text,說明文字
