name,title
ba_fiscalyear,會計年度
ba_fundkind,(此報表無需使用此TAG)
ba_budgetkind,(此報表無需使用此TAG)
ba_specialbudgetno,(此報表無需使用此TAG)
ba_agenno,機關編號
ba_agentype,機關業務別
ba_budgetstate,預算階段
ba_versiondate,(此報表無需使用此TAG)
ba_budgetyear,預算年度
ba_budgetno,預算科目編號
ba_subprojectno,(此報表無需使用此TAG)
mj_subprojectname,(此報表無需使用此TAG)
ba_departno,承辦單位編號
ba_objectno,(此報表無需使用此TAG)
ba_budgettype,預算分類
ba_budgetsource,預算來源
ba_mergetype,(此報表無需使用此TAG)
ba_budgetamt,金額(元)
ba_flowflag,(此報表無需使用此TAG)
ba_signflag,(此報表無需使用此TAG)
ba_signno,(此報表無需使用此TAG)
ba_key,(此報表無需使用此TAG)
bc_fiscalyear,會計年度
bc_fundkind,(此報表無需使用此TAG)
bc_budgetkind,(此報表無需使用此TAG)
bc_specialbudgetno,(此報表無需使用此TAG)
bc_agenno,機關編號
bc_agentype,機關業務別
bc_budgetstate,預算階段
bc_reportno,(此報表無需使用此TAG)
bc_key,(此報表無需使用此TAG)
bc_versiondate,(此報表無需使用此TAG)
bc_content,說明文字
