name,title
bn_fiscalyear,會計年度
bn_fundkind,(此報表無需使用此TAG)
bn_budgetkind,(此報表無需使用此TAG)
bn_specialbudgetno,(此報表無需使用此TAG)
bn_agenno,機關編號
bn_agentype,機關業務別
bn_budgetstate,預算階段
bn_budgetsource,預算來源
bn_man1,職員數(本年度)
bn_man1_l,職員數(上年度)
bn_man2,警員數(本年度)
bn_man2_l,警員數(上年度)
bn_man3,技工數(本年度)
bn_man3_l,技工數(上年度)
bn_man4,工友數(本年度)
bn_man4_l,工友數(上年度)
bn_man5,聘用數(本年度)
bn_man5_l,聘用數(上年度)
bn_man6,約僱數(本年度)
bn_man6_l,約僱數(上年度)
bn_man7,法醫數(本年度)
bn_man7_l,法醫數(上年度)
bn_man8,駐警數(本年度)
bn_man8_l,駐警數(上年度)
bn_man9,駕駛數(本年度)
bn_man9_l,駕駛數(上年度)
bn_man10,駐外雇員數(本年度)
bn_man10_l,駐外雇員數(上年度)
bn_man11,委員數(本年度)
bn_man11_l,委員數(上年度)
bn_amt_man,本年度經費(元)
bn_amt_mngbsn,上年度經費(元)
bn_text,說明
display_name,預算科目名稱及編號
