name,title
be_fiscalyear,會計年度
be_fundkind,(此報表無需使用此TAG)
be_budgetkind,(此報表無需使用此TAG)
be_specialbudgetno,(此報表無需使用此TAG)
be_agenno,機關編號
be_agentype,機關業務別
be_budgetstate,預算階段
be_budgetsource,預算來源
be_budgetno,預算科目
be_ordinaryid,經資門
be_budgettype,預算分類
be_caseno,案號
be_exectype,(此報表無需使用此TAG)
be_applyid,(此報表無需使用此TAG)
be_totalamt,金額(元)
be_allotment1,(此報表無需使用此TAG)
be_allotment2,(此報表無需使用此TAG)
be_allotment3,(此報表無需使用此TAG)
be_allotment4,(此報表無需使用此TAG)
be_allotment5,(此報表無需使用此TAG)
be_allotment6,(此報表無需使用此TAG)
be_allotment7,(此報表無需使用此TAG)
be_allotment8,(此報表無需使用此TAG)
be_allotment9,(此報表無需使用此TAG)
be_allotment10,(此報表無需使用此TAG)
be_allotment11,(此報表無需使用此TAG)
be_allotment12,(此報表無需使用此TAG)
be_unallotment,(此報表無需使用此TAG)
be_allotmentssts,(此報表無需使用此TAG)
be_versiondate,(此報表無需使用此TAG)
mh_budgetno,預算科目編號
mh_budgetname,預算科目名稱
oeme,(此報表無需使用此TAG)
reme,(此報表無需使用此TAG)
